Activity ID,Activity Date,Activity Name,Activity Type,Activity Description,Elapsed Time,Distance,Max Heart Rate,Relative Effort,Commute,Activity Private Note,Activity Gear,Filename,Athlete Weight,Bike Weight,Elapsed Time,Moving Time,Distance,Max Speed,Average Speed,Elevation Gain,Elevation Loss,Elevation Low,Elevation High,Max Grade,Average Grade,Average Positive Grade,Average Negative Grade,Max Cadence,Average Cadence,Max Heart Rate,Average Heart Rate,Max Watts,Average Watts,Calories,Max Temperature,Average Temperature,Relative Effort,Total Work,Number of Runs,Uphill Time,Downhill Time,Other Time,Perceived Exertion,Type,Start Time,Weighted Average Power,Power Count,Prefer Perceived Exertion,Perceived Relative Effort,Commute,Total Weight Lifted,From Upload,Grade Adjusted Distance,Weather Observation Time,Weather Condition,Weather Temperature,Apparent Temperature,Dewpoint,Humidity,Weather Pressure,Wind Speed,Wind Gust,Wind Bearing,Precipitation Intensity,Sunrise Time,Sunset Time,Moon Phase,Bike,Gear,Precipitation Probability,Precipitation Type,Cloud Cover,Weather Visibility,UV Index,Weather Ozone,Jump Count,Total Grit,Average Flow,Flagged,Average Elapsed Speed,Dirt Distance,Newly Explored Distance,Newly Explored Dirt Distance,Activity Count,Total Steps,Carbon Saved,Pool Length,Training Load,Intensity,Average Grade Adjusted Pace,Timer Time,Total Cycles,Recovery,With Pet,Competition,Long Run,For a Cause,Media
3214382114,"Mar 24, 2020, 6:37:34 PM",Evening Run,Run,,3208,9.29,175.0,99,false,,,activities/3436442239.tcx.gz,,,3208.0,2581.0,9297.8,5.7,3.602,27.0,26.9,9.7,13.9,25.0,0.0,,,89.0,80.0,175.0,,,,666.0,,,99.0,,,,,,,,,,,,,0.0,,1.0,9336.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,""
3221378624,"Mar 26, 2020, 6:24:59 PM",Evening Run,Run,,2743,8.51,217.0,103,false,,,activities/3443868492.tcx.gz,,,2743.0,2743.0,8511.2,4.6,3.103,21.3,21.1,9.4,15.7,6.5,0.0,,,89.0,81.0,217.0,,,,584.0,,,103.0,,,,,,,,,,,,,0.0,,1.0,8535.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,""
3230105787,"Mar 29, 2020, 7:56:51 AM",Morning Run,Run,,2036,7.11,201.0,87,false,,,activities/3453207182.tcx.gz,,,2036.0,2036.0,7111.9,4.9,3.493,11.4,11.3,9.2,15.7,15.2,0.0,,,87.0,82.0,201.0,,,,446.0,,,87.0,,,,,,,,,,,,,0.0,,1.0,7136.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,""
3239680713,"Mar 31, 2020, 5:16:09 PM",Evening Run,Run,,3576,10.51,176.0,122,false,,,activities/3463367272.tcx.gz,,,3576.0,3295.0,10512.4,3.9,3.19,25.4,23.7,7.1,13.9,50.0,0.0,,,89.0,80.0,176.0,,,,731.0,,,122.0,,,,,,,,,,,,,0.0,,1.0,10550.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,""
3247233235,"Apr 2, 2020, 5:20:57 PM",Evening Run,Run,,2749,8.80,177.0,107,false,,,activities/3471354735.tcx.gz,,,2749.0,2746.0,8801.2,4.6,3.205,29.2,29.1,5.7,15.0,12.8,0.0,,,87.0,82.0,177.0,,,,587.0,,,107.0,,,,,,,,,,,,,0.0,,1.0,8855.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,""
3257463667,"Apr 5, 2020, 9:29:11 AM",Lunch Run,Run,,1489,3.58,198.0,40,false,,,activities/3482288397.tcx.gz,,,1489.0,1031.0,3586.8,9.0,3.479,18.5,55.0,56.5,94.1,20.0,-1.0,,,98.0,78.0,198.0,,,,297.0,,,40.0,,,,,,,,,,,,,0.0,,1.0,3536.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,""
3268021120,"Apr 7, 2020, 5:13:49 PM",Evening Run,Run,,2853,7.43,181.0,74,false,,,activities/3493672427.tcx.gz,,,2853.0,2172.0,7431.3,6.2,3.421,6.3,4.8,10.9,17.6,25.0,0.0,,,87.0,79.0,181.0,,,,567.0,,,74.0,,,,,,,,,,,,,0.0,,1.0,7459.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,""
3276869544,"Apr 9, 2020, 5:21:39 PM",Evening Run,Run,,3388,10.01,186.0,86,false,,,activities/3503001892.tcx.gz,,,3388.0,3388.0,10017.7,4.8,2.957,13.6,13.6,8.4,13.9,8.3,0.0,,,87.0,81.0,186.0,,,,652.0,,,86.0,,,,,,,,,,,,,0.0,,1.0,10042.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,""
3299212298,"Apr 14, 2020, 5:42:08 PM",Evening Run,Run,,2606,8.07,183.0,100,false,,,activities/3526586107.tcx.gz,,,2606.0,2225.0,8070.0,7.0,3.627,14.5,9.2,11.2,16.5,25.4,0.1,,,87.0,75.0,183.0,,,,565.0,,,100.0,,,,,,,,,,,,,0.0,,1.0,8117.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,""
3319889517,"Apr 19, 2020, 7:59:49 AM",Morning Run,Run,,3621,11.49,207.0,151,false,,,activities/3548381572.tcx.gz,,,3621.0,3595.0,11494.2,5.9,3.197,13.0,9.5,9.2,15.4,25.5,0.0,,,89.0,81.0,207.0,,,,790.0,,,151.0,,,,,,,,,,,,,0.0,,1.0,11514.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,""
3332741107,"Apr 21, 2020, 5:35:33 PM",Evening Run,Run,,2119,6.45,186.0,97,false,,,activities/3561915728.tcx.gz,,,2119.0,1897.0,6456.1,5.7,3.403,15.9,16.5,11.1,16.5,25.0,0.0,,,84.0,77.0,186.0,,,,485.0,,,97.0,,,,,,,,,,,,,0.0,,1.0,6473.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,""
3342531433,"Apr 23, 2020, 5:36:43 PM",Evening Run,Run,,1915,5.81,167.0,50,false,,,activities/3572077916.tcx.gz,,,1915.0,1877.0,5818.9,4.3,3.1,5.6,5.6,10.8,16.5,3.5,0.0,,,84.0,79.0,167.0,,,,372.0,,,50.0,,,,,,,,,,,,,0.0,,1.0,5822.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,""
3354628922,"Apr 26, 2020, 7:57:22 AM",Morning Run,Run,,3830,12.74,182.0,201,false,,,activities/3584821490.tcx.gz,,,3830.0,3827.0,12744.7,4.7,3.33,89.0,6.0,10.1,94.5,43.0,0.7,,,84.0,80.0,182.0,,,,877.0,,,201.0,,,,,,,,,,,,,0.0,,1.0,13094.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,""
3376561534,"Apr 30, 2020, 5:31:56 PM",Evening Run,Run,,2154,7.16,172.0,70,false,,,activities/3607915351.tcx.gz,,,2154.0,2154.0,7167.1,4.6,3.327,5.3,5.3,10.8,16.5,5.9,0.0,,,84.0,81.0,172.0,,,,438.0,,,70.0,,,,,,,,,,,,,0.0,,1.0,7176.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,""
3392953661,"May 3, 2020, 7:59:35 AM",Morning Run,Run,,3398,10.52,185.0,175,false,,,activities/3625170556.tcx.gz,,,3398.0,3180.0,10521.5,5.0,3.309,12.5,12.5,10.8,16.9,9.7,0.0,,,89.0,81.0,185.0,,,,746.0,,,175.0,,,,,,,,,,,,,0.0,,1.0,10535.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,""
3403486903,"May 5, 2020, 5:26:49 PM",Evening Run,Run,,2907,9.11,180.0,117,false,,,activities/3636254343.tcx.gz,,,2907.0,2426.0,9113.5,5.9,3.757,10.5,10.5,11.2,16.5,33.3,0.0,,,84.0,79.0,180.0,,,,633.0,,,117.0,,,,,,,,,,,,,0.0,,1.0,9129.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,""
3414657466,"May 7, 2020, 5:19:00 PM",Evening Run,Run,,2541,8.21,183.0,91,false,,,activities/3647639137.tcx.gz,,,2541.0,2538.0,8212.5,5.2,3.236,11.3,11.2,10.3,16.5,10.2,0.0,,,92.0,81.0,183.0,,,,531.0,,,91.0,,,,,,,,,,,,,0.0,,1.0,8227.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,""
3428315427,"May 10, 2020, 8:06:02 AM",Morning Run,Run,,2205,7.67,172.0,94,false,,,activities/3662127012.tcx.gz,,,2205.0,2205.0,7671.7,5.7,3.479,11.3,6.3,10.3,16.5,9.2,0.1,,,84.0,80.0,172.0,,,,478.0,,,94.0,,,,,,,,,,,,,0.0,,1.0,7701.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,""
3440980035,"May 12, 2020, 5:48:07 PM",Evening Run,Run,,2919,7.43,171.0,56,false,,,activities/3675441581.tcx.gz,,,2919.0,1990.0,7434.3,6.4,3.736,63.9,64.1,11.4,16.5,33.3,0.0,,,84.0,80.0,171.0,,,,547.0,,,56.0,,,,,,,,,,,,,0.0,,1.0,7523.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,""
3451177086,"May 14, 2020, 5:19:56 PM",Evening Run,Run,,2602,8.18,169.0,85,false,,,activities/3686124729.tcx.gz,,,2602.0,2602.0,8180.1,4.1,3.144,11.9,12.0,9.0,18.1,5.9,0.0,,,87.0,81.0,169.0,,,,531.0,,,85.0,,,,,,,,,,,,,0.0,,1.0,8198.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,""
3464511910,"May 17, 2020, 8:03:44 AM",Morning Run,Run,,3458,12.03,205.0,187,false,,,activities/3700161408.tcx.gz,,,3458.0,3455.0,12036.2,4.6,3.484,8.1,8.0,8.3,16.6,10.6,0.0,,,87.0,81.0,205.0,,,,813.0,,,187.0,,,,,,,,,,,,,0.0,,1.0,12057.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,""
3478759908,"May 19, 2020, 6:00:23 PM",Evening Run,Run,,1952,6.14,187.0,84,false,,,activities/3715126198.tcx.gz,,,1952.0,1519.0,6142.3,6.3,4.044,24.3,24.4,10.4,17.1,37.9,0.0,,,85.0,80.0,187.0,,,,450.0,,,84.0,,,,,,,,,,,,,0.0,,1.0,6210.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,""
3502206436,"May 24, 2020, 8:05:02 AM",Morning Run,Run,,2162,7.56,182.0,99,false,,,activities/3739952473.tcx.gz,,,2162.0,2159.0,7567.1,5.0,3.505,10.3,10.2,10.1,18.1,6.7,0.0,,,84.0,81.0,,167.0,,,478.0,,,99.0,,,,,,,,,,,,,0.0,,1.0,7587.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,""
3516525743,"May 26, 2020, 6:09:12 PM",Evening Run,Run,,2414,6.08,186.0,76,false,,,activities/3755082572.tcx.gz,,,2414.0,1419.0,6084.6,8.4,4.288,0.0,0.5,16.0,17.4,2.7,0.0,,,87.0,80.0,,173.0,,,484.0,,,76.0,,,,,,,,,,,,,0.0,,1.0,6087.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,""
3540195229,"May 31, 2020, 7:59:16 AM",Morning Run,Run,,2128,6.29,184.0,77,false,,,activities/3780014529.tcx.gz,,,2128.0,2128.0,6292.4,8.6,2.957,14.9,14.9,9.0,16.5,6.9,0.0,,,113.0,81.0,,160.0,,,447.0,,,77.0,,,,,,,,,,,,,0.0,,1.0,6309.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,""
3589747722,"Jun 9, 2020, 6:13:17 PM",Evening Run,Run,,2170,6.31,186.0,87,false,,,activities/3832424565.tcx.gz,,,2170.0,1478.0,6312.3,9.1,4.271,12.6,12.5,10.4,17.1,32.1,0.0,,,98.0,82.0,,176.0,,,509.0,,,87.0,,,,,,,,,,,,,0.0,,1.0,6352.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,""
3589752876,"Jun 2, 2020, 5:46:57 PM",Evening Run,Run,,2773,5.76,163.0,53,false,,,activities/3832429816.tcx.gz,,,2773.0,2067.0,5761.6,4.1,2.787,8.0,11.1,10.4,16.2,9.6,-0.1,,,87.0,77.0,,154.0,,,496.0,,,53.0,,,,,,,,,,,,,0.0,,1.0,5768.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,""
3597632599,"Jun 11, 2020, 7:22:27 AM",Morning Run,Run,,4408,13.02,174.0,172,false,,,activities/3840737773.tcx.gz,,,4408.0,4405.0,13024.9,4.1,2.957,16.3,16.4,9.8,17.7,17.4,0.0,,,84.0,79.0,,164.0,,,943.0,,,172.0,,,,,,,,,,,,,0.0,,1.0,13059.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,""
